QB_ID,Peer_assessment_of_QBs_school,Week,Incompetence,Athleticism,Competence,Lack_of_athleticism,QB_race,Performance,QB_race_x_Performance,Words_published_per_QB_per_interval,Source_of_phrase,Rushing_yards,Evaluative_phrases_negative,Evaluative_phrases_positive
10011,,1,0,1,0,0,0,1,0,579,1,50,0.00,0.00
10011,,4,0,0,0,0,0,0,0,391,1,5,0.00,1.00
10011,,7,0,1,0,0,0,1,0,437,0,5,0.00,0.00
10011,,10,0,0,0,0,0,0,0,0,0,20,0.00,0.00
10022,2,1,0,0,0,0,1,1,1,0,0,17,0.00,0.00
10022,2,4,0,0,0,2,1,1,1,982,0,3,0.00,0.00
10022,2,7,0,0,0,0,1,,,0,0,-23,0.00,0.00
10022,2,10,0,0,0,0,1,,,0,0,,0.00,0.00
10031,3,1,0,0,0,0,0,1,0,0,0,1,0.00,0.00
10031,3,4,1,1,0,3,0,0,0,1272,0,-21,0.00,0.00
10031,3,7,1,3,7,0,0,1,0,1186,0,3,1.00,7.00
10031,3,10,0,0,0,0,0,,,0,0,-19,0.00,0.00
10041,3,1,0,0,0,0,0,1,0,0,0,-19,0.00,0.00
10041,3,4,0,2,3,0,0,1,0,1011,0,-21,1.00,6.00
10041,3,7,0,0,0,0,0,1,0,0,0,-4,0.00,0.00
10041,3,10,0,0,7,0,0,1,0,1832,0,7,1.00,9.00
10062,3,1,0,0,0,0,0,1,0,0,0,37,0.00,0.00
10062,3,4,0,0,0,0,0,,,0,0,2,0.00,0.00
10062,3,7,0,0,0,0,0,,,0,1,84,0.00,0.00
10062,3,10,0,2,16,0,0,1,0,2663,1,56,0.00,4.00
10071,3,1,0,0,0,0,0,0,0,0,0,-20,0.00,0.00
10071,3,4,0,0,0,0,0,0,0,0,0,-14,0.00,0.00
10071,3,7,0,10,4,0,0,1,0,1701,0,-7,0.00,9.00
10071,3,10,3,2,0,0,0,0,0,1060,0,-6,1.00,1.00
10091,3,1,0,0,0,0,0,1,0,0,0,5,0.00,0.00
10091,3,4,1,2,1,0,0,1,0,1490,0,91,0.00,6.00
10091,3,7,0,1,1,0,0,1,0,1312,0,3,4.00,3.00
10091,3,10,0,0,1,0,0,1,0,686,1,-3,0.00,0.00
10092,3,1,0,0,0,0,1,,,0,0,,0.00,0.00
10101,3,4,0,0,0,0,1,0,0,573,0,,0.00,1.00
10101,3,7,0,0,0,0,1,1,1,563,0,,0.00,1.00
10101,3,10,0,1,0,0,1,0,0,1092,1,0,0.00,2.00
10111,3,1,0,0,0,0,0,0,0,724,0,0,0.00,0.00
10111,3,4,0,0,0,0,0,1,0,0,0,,0.00,0.00
10111,3,7,0,0,0,0,0,0,0,737,0,29,1.00,4.00
10111,3,10,0,0,5,0,0,0,0,632,1,1,0.00,1.00
10121,,1,0,0,0,0,0,1,0,0,0,4,0.00,0.00
10121,,4,0,0,0,0,0,,,0,1,9,0.00,0.00
10121,,7,0,0,0,0,0,1,0,0,0,4,0.00,0.00
10121,,10,0,0,0,1,0,1,0,226,1,,0.00,0.00
10131,4,1,0,0,0,0,0,1,0,0,0,,0.00,0.00
10131,4,4,0,2,0,0,0,1,0,1114,0,,0.00,4.00
