"","QB_ID","Peer_assessment_of_QBs_school","Week","Incompetence","Athleticism","Competence","Lack_of_athleticism","QB_race","Performance","QB_race_x_Performance","Words_published_per_QB_per_interval","Source_of_phrase","Rushing_yards","Evaluative_phrases_negative","Evaluative_phrases_positive"
"1",10011,NA,1,0,1,0,0,0,1,0,579,1,50,0,0
"2",10011,NA,4,0,0,0,0,0,0,0,391,1,5,0,1
"3",10011,NA,7,0,1,0,0,0,1,0,437,0,5,0,0
"4",10011,NA,10,0,0,0,0,0,0,0,0,0,20,0,0
"5",10022,2.1,1,0,0,0,0,1,1,1,0,0,17,0,0
"6",10022,2.1,4,0,0,0,2,1,1,1,982,0,3,0,0
"7",10022,2.1,7,0,0,0,0,1,NA,NA,0,0.32,-23,0,0
"8",10022,2.1,10,0,0,0,0,1,NA,NA,0,0,NA,0,0
"9",10031,2.9,1,0,0,0,0,0,1,0,0,0,1,0,0
"10",10031,2.9,4,1,1,0,3,0,0,0,1272,0.42,-21,0,0
"11",10031,2.9,7,1,3,7,0,0,1,0,1186,0,3,1,7
"12",10031,2.9,10,0,0,0,0,0,NA,NA,0,0.06,-19,0,0
"13",10041,3.2,1,0,0,0,0,0,1,0,0,0,-19,0,0
"14",10041,3.2,4,0,2,3,0,0,1,0,1011,0,-21,1,6
"15",10041,3.2,7,0,0,0,0,0,1,0,0,0,-4,0,0
"16",10041,3.2,10,0,0,7,0,0,1,0,1832,0.45,7,1,9
"17",10062,2.7,1,0,0,0,0,0,1,0,0,0,37,0,0
"18",10062,2.7,4,0,0,0,0,0,NA,NA,0,0,2,0,0
"19",10062,2.7,7,0,0,0,0,0,NA,NA,0,0.57,84,0,0
"20",10062,2.7,10,0,2,16,0,0,1,0,2663,0.71,56,0,4
"21",10071,2.7,1,0,0,0,0,0,0,0,0,0,-20,0,0
"22",10071,2.7,4,0,0,0,0,0,0,0,0,0.44,-14,0,0
"23",10071,2.7,7,0,10,4,0,0,1,0,1701,0.11,-7,0,9
"24",10071,2.7,10,3,2,0,0,0,0,0,1060,0,-6,1,1
"25",10091,3,1,0,0,0,0,0,1,0,0,0,5,0,0
